SalePrice,Id
115597.8266,1461
155753.4182,1462
177471.9227,1463
193873.1987,1464
206700.7895,1465
168852.0038,1466
180034.7092,1467
162323.9751,1468
195999.6064,1469
120427.8156,1470
181523.026,1471
99211.96114,1472
95400.65114,1473
142884.2701,1474
110909.3116,1475
342657.5942,1476
250689.9806,1477
294631.814,1478
295478.8383,1479
466063.3896,1480
336558.9143,1481
225515.3661,1482
180114.977,1483
166883.676,1484
201188.5579,1485
197028.2729,1486
331370.7691,1487
232686.2839,1488
192622.3648,1489
237591.7448,1490
198117.8695,1491
90558.62511,1492
189993.431,1493
299962.3407,1494
288287.6881,1495
236609.6748,1496
179686.8521,1497
175679.0835,1498
165428.5475,1499
161204.1812,1500
176014.7308,1501
151359.1041,1502
279743.3576,1503
247387.6535,1504
231793.1616,1505
189712.1819,1506
244098.2543,1507
199726.0142,1508
159360.3159,1509
146883.9308,1510
150417.1943,1511
175081.0589,1512
143067.1833,1513
146509.9366,1514
190767.5332,1515
155038.9355,1516
163577.6419,1517
127604.8733,1518
206411.5684,1519
127626.2694,1520
128192.351,1521
178757.577,1522
108392.0466,1523
124512.977,1524
118430.2633,1525
116514.9546,1526
109003.7363,1527
130532.8822,1528
150082.9507,1529
184893.2468,1530
113243.7129,1531
95493.48597,1532
150616.1434,1533
120246.6323,1534
147411.904,1535
107158.1738,1536
71818.70755,1537
147632.7253,1538
199166.3921,1539
95300.98064,1540
140322.0377,1541
137798.9621,1542
186511.0901,1543
88460.70403,1544
119493.3741,1545
144413.0469,1546
128646.983,1547
136411.9924,1548
126179.5953,1549
141589.1182,1550
103370.0247,1551
139238.8038,1552
144327.6811,1553
115820.1021,1554
167788.9141,1555
88074.37906,1556
103576.826,1557
100636.2416,1558
92035.09399,1559
144251.3308,1560
113257.1854,1561
135355.004,1562
120954.4585,1563
158201.4229,1564
148675.8649,1565
237122.285,1566
74676.75721,1567
249651.5894,1568
126776.9815,1569
146748.9041,1570
118995.6554,1571
142228.3983,1572
203442.6745,1573
121314.5868,1574
229375.7263,1575
256208.6627,1576
179395.6084,1577
149212.5046,1578
150726.1911,1579
193574.2083,1580
156697.684,1581
126762.7533,1582
292899.7809,1583
217570.2421,1584
141851.6223,1585
65725.87281,1586
106466.6521,1587
144764.3185,1588
95362.74471,1589
131121.673,1590
92938.29355,1591
112813.0012,1592
125121.1083,1593
120148.51,1594
126238.6954,1595
218430.0088,1596
203011.676,1597
230405.0688,1598
171332.2411,1599
169890.0618,1600
65418.29028,1601
114184.0219,1602
75079.29323,1603
255696.0602,1604
243404.6864,1605
168295.5149,1606
176551.1363,1607
219552.5683,1608
179585.2649,1609
150402.7691,1610
142127.8975,1611
167478.4088,1612
162301.646,1613
120140.4086,1614
90221.46782,1615
76848.24803,1616
90270.91724,1617
127792.3383,1618
141627.3997,1619
190815.8179,1620
134010.3766,1621
139739.5044,1622
265117.5522,1623
212315.278,1624
117669.011,1625
173844.0799,1626
187579.4935,1627
285202.1278,1628
186829.1337,1629
349804.7943,1630
234292.8722,1631
249724.9241,1632
180175.3154,1633
185002.5785,1634
177032.259,1635
155525.5436,1636
195790.0399,1637
177692.8151,1638
188705.0524,1639
254524.3764,1640
185217.0137,1641
244606.5525,1642
212439.4258,1643
239532.8812,1644
192686.3923,1645
158354.0929,1646
158617.1084,1647
127767.451,1648
141371.0463,1649
112818.3869,1650
120697.5811,1651
99988.26712,1652
102445.1552,1653
142878.2759,1654
138429.8715,1655
139704.1527,1656
145759.7501,1657
144342.0479,1658
116712.8655,1659
157773.6629,1660
407958.3991,1661
387700.4741,1662
368462.7145,1663
469980.8707,1664
299291.2895,1665
329028.3154,1666
350509.3215,1667
336710.9655,1668
314163.8613,1669
340836.182,1670
270369.2835,1671
406501.581,1672
305521.5755,1673
249713.7625,1674
208088.8674,1675
205984.1103,1676
225507.3675,1677
446837.4008,1678
380120.179,1679
314131.7153,1680
244874.3215,1681
321698.6276,1682
193090.6193,1683
178266.355,1684
177782.4147,1685
173469.7449,1686
178167.7889,1687
189368.4588,1688
195440.5189,1689
201548.7435,1690
191634.5113,1691
