,Id,SalePrice
0,1461,119347
1,1462,162394
2,1463,184412
3,1464,201511
4,1465,196479
5,1466,170318
6,1467,172602
7,1468,168160
8,1469,187342
9,1470,122431
10,1471,178809
11,1472,98700
12,1473,97957
13,1474,145000
14,1475,113393
15,1476,334967
16,1477,249758
17,1478,293375
18,1479,294045
19,1480,467134
20,1481,334696
21,1482,222369
22,1483,176851
23,1484,170405
24,1485,195102
25,1486,197547
26,1487,331159
27,1488,230355
28,1489,193087
29,1490,240842
30,1491,194948
31,1492,90823
32,1493,194273
33,1494,299752
34,1495,283994
35,1496,231213
36,1497,170850
37,1498,174068
38,1499,160677
39,1500,162060
40,1501,176600
41,1502,154062
42,1503,261875
43,1504,243254
44,1505,231986
45,1506,192674
46,1507,238140
47,1508,195861
48,1509,154558
49,1510,150878
50,1511,154890
51,1512,171522
52,1513,141286
53,1514,157284
54,1515,185888
55,1516,154031
56,1517,168324
57,1518,131652
58,1519,208197
59,1520,132676
60,1521,135688
61,1522,174228
62,1523,112107
63,1524,118281
64,1525,118968
65,1526,114861
66,1527,106890
67,1528,129020
68,1529,151593
69,1530,195654
70,1531,125078
71,1532,96490
72,1533,143914
73,1534,119911
74,1535,150302
75,1536,113399
76,1537,74056
77,1538,158008
78,1539,178994
79,1540,84324
80,1541,139946
81,1542,129195
82,1543,177952
83,1544,85636
84,1545,116453
85,1546,136816
86,1547,130404
87,1548,128921
88,1549,121549
89,1550,142409
90,1551,109256
91,1552,136638
92,1553,139610
93,1554,120812
94,1555,168009
95,1556,85899
96,1557,98220
97,1558,106758
98,1559,100822
99,1560,137924
100,1561,110524
101,1562,133665
102,1563,124167
103,1564,162555
104,1565,151515
105,1566,226529
106,1567,80228
107,1568,247468
108,1569,138375
109,1570,142072
110,1571,118599
111,1572,139986
112,1573,239892
113,1574,112988
114,1575,238821
115,1576,258327
116,1577,181716
117,1578,144271
118,1579,151822
119,1580,192621
120,1581,161693
121,1582,126210
122,1583,298307
123,1584,217868
124,1585,143838
125,1586,72204
126,1587,112037
127,1588,149327
128,1589,100677
129,1590,131701
130,1591,97840
131,1592,121131
132,1593,121209
133,1594,118681
134,1595,118450
135,1596,217948
136,1597,195208
137,1598,211688
138,1599,170516
139,1600,166961
140,1601,67172
141,1602,114278
142,1603,79636
143,1604,274914
144,1605,236150
145,1606,165297
146,1607,180131
147,1608,226066
148,1609,181374
149,1610,157522
150,1611,143079
151,1612,169413
152,1613,171317
153,1614,124267
154,1615,90618
155,1616,78135
156,1617,93360
157,1618,131766
158,1619,143216
159,1620,153894
160,1621,132112
161,1622,145983
162,1623,256671
163,1624,217306
164,1625,116524
165,1626,178829
166,1627,193204
167,1628,276422
168,1629,178197
169,1630,331271
170,1631,230261
171,1632,242152
172,1633,178010
173,1634,189110
174,1635,177087
175,1636,153570
176,1637,192249
177,1638,190554
178,1639,186130
179,1640,240040
180,1641,180528
181,1642,241165
182,1643,223889
183,1644,234722
184,1645,211194
185,1646,160346
186,1647,158447
187,1648,130374
188,1649,143263
189,1650,118819
190,1651,122807
191,1652,99398
192,1653,101101
193,1654,143702
194,1655,134983
195,1656,142830
196,1657,146659
197,1658,151385
198,1659,119504
199,1660,160964
200,1661,424288
201,1662,351143
202,1663,346002
203,1664,512323
204,1665,282661
205,1666,322212
206,1667,336579
207,1668,317409
208,1669,289609
209,1670,320843
210,1671,280331
211,1672,393030
212,1673,300492
213,1674,248242
214,1675,212280
215,1676,208133
216,1677,231024
217,1678,436958
218,1679,379296
219,1680,299916
220,1681,232757
221,1682,324243
222,1683,197536
223,1684,182624
224,1685,180962
225,1686,178945
226,1687,171879
227,1688,196583
228,1689,195747
229,1690,203871
230,1691,194960
231,1692,250135
232,1693,172786
233,1694,185211
234,1695,163384
235,1696,279637
236,1697,167552
237,1698,337572
238,1699,325583
239,1700,257186
240,1701,265970
241,1702,232351
242,1703,240986
243,1704,269381
244,1705,245497
245,1706,238373
246,1707,204207
247,1708,205202
248,1709,258852
249,1710,225106
250,1711,275714
251,1712,254715
252,1713,264253
253,1714,218586
254,1715,205844
255,1716,177206
256,1717,179001
257,1718,133551
258,1719,211014
259,1720,228282
260,1721,157027
261,1722,120369
262,1723,153130
263,1724,197647
264,1725,236631
265,1726,183488
266,1727,156901
267,1728,169711
268,1729,167494
269,1730,147028
270,1731,120403
271,1732,128397
272,1733,115136
273,1734,124319
274,1735,120398
275,1736,107112
276,1737,286407
277,1738,251355
278,1739,229767
279,1740,226653
280,1741,202115
281,1742,168082
282,1743,175198
283,1744,306965
284,1745,210200
285,1746,179854
286,1747,215798
287,1748,217135
288,1749,143393
289,1750,123980
290,1751,245044
291,1752,117313
292,1753,150564
293,1754,197005
294,1755,171683
295,1756,130370
296,1757,121169
297,1758,149295
298,1759,162270
299,1760,164440
300,1761,153641
301,1762,171937
302,1763,188507
303,1764,116668
304,1765,140553
305,1766,191024
306,1767,209585
307,1768,142396
308,1769,166412
309,1770,154974
310,1771,118991
311,1772,133175
312,1773,128888
313,1774,143952
314,1775,142704
315,1776,124155
316,1777,104473
317,1778,141600
318,1779,125448
319,1780,164167
320,1781,123950
321,1782,95475
322,1783,146693
323,1784,118917
324,1785,112601
325,1786,148613
326,1787,167506
327,1788,65312
328,1789,96969
329,1790,91554
330,1791,190417
331,1792,150597
332,1793,125599
333,1794,155439
334,1795,134691
335,1796,130204
336,1797,116427
337,1798,122067
338,1799,110283
339,1800,130493
340,1801,131614
341,1802,137447
342,1803,148096
343,1804,140402
344,1805,134680
345,1806,116352
346,1807,130046
347,1808,118104
348,1809,121566
349,1810,140203
350,1811,84269
351,1812,96463
352,1813,119386
353,1814,97993
354,1815,57950
355,1816,92444
356,1817,119118
357,1818,149159
358,1819,130955
359,1820,70835
360,1821,104966
361,1822,152177
362,1823,57140
363,1824,122654
364,1825,144268
365,1826,112709
366,1827,104222
367,1828,132602
368,1829,116814
369,1830,137601
370,1831,139312
371,1832,81351
372,1833,134310
373,1834,126258
374,1835,108393
375,1836,111311
376,1837,88203
377,1838,120187
378,1839,104636
379,1840,142468
380,1841,133447
381,1842,95689
382,1843,138527
383,1844,142211
384,1845,148194
385,1846,155117
386,1847,174050
387,1848,66738
388,1849,105381
389,1850,118102
390,1851,148037
391,1852,129354
392,1853,131884
393,1854,159477
394,1855,154629
395,1856,231242
396,1857,139780
397,1858,130244
398,1859,120362
399,1860,151544
400,1861,119846
401,1862,304605
402,1863,283411
403,1864,283451
404,1865,307809
405,1866,293524
406,1867,218624
407,1868,278035
408,1869,206653
409,1870,216313
410,1871,249765
411,1872,184164
412,1873,255543
413,1874,145506
414,1875,193612
415,1876,202379
416,1877,206017
417,1878,202220
418,1879,138861
419,1880,125979
420,1881,238345
421,1882,241482
422,1883,178638
423,1884,196198
424,1885,219841
425,1886,272890
426,1887,217453
427,1888,257890
428,1889,181693
429,1890,125898
430,1891,124505
431,1892,104403
